Curve,File,Unit,Min,Max,Mean,Std,Count,Range
RHOB,Downing_'B'_1-1.las,G/CC,-0.8043,4.3526,2.383783877011241,0.2093141355706852,9074,5.1569
RHOB,Downing_1-6.las,G/CC,-0.663,4.0324,2.31285706183274,0.3068203769673268,8992,4.6954
RHOB,Ladenburger_'A'_1-6.las,NO_UNIT,-0.9429,4.2515,2.3495055078211062,0.2581445575688211,9078,5.1944
RHOB,Ladenburger_'B'_1-6.las,NO_UNIT,-0.0241,4.4228,2.3346806302335827,0.21854006284271502,9076,4.446899999999999
RHOB,Ladenburger_1-6.las,Unknown,-1.5401,4.1041,2.3114359577743566,0.2443865425142386,9094,5.6442
RHOB,Mary_Ann_1-1.las,Unknown,-1.2443,4.1615,2.3299786274070757,0.22905579525255146,8932,5.4058
RHOB,Mary_Ann_2-1.las,Unknown,-1.2019,4.0325,2.334911693319723,0.24222070763746648,8817,5.2344
RHOB,Mary_Ann_3-1.las,Unknown,-0.6153,4.0157,2.340191025497023,0.2638956654842317,8903,4.631
RHOB,Mary_Ann_4-1.las,G/CC,-1.4126,4.0095,2.350698460680424,0.2524850383928578,8965,5.4221
RHOB,Mary_Ann_5-1.las,Unknown,-0.6665,4.339,2.3641954031900756,0.2212952577261264,9028,5.0055000000000005
RHOB,Mary_Ann_6-1.las,G/CC,-0.4491,4.3335,2.3650518095026642,0.228129464133188,9008,4.7825999999999995
RHOB,Mary_Ann_7-1.las,G/CC,-1.291,4.4416,2.3730994904740808,0.29621548450155494,9028,5.7326
RHOB,Mary_Ann_8-1.las,G/CC,-1.4061,4.1825,2.361059870622351,0.222993572267283,8966,5.5886
RHOB,Walter_'A'_2-1.las,G/CC,-1.3213,3.5924,2.295818097523726,0.33058630180277215,9167,4.9137
RHOB,Walter_1-1.las,G/CC,0.0,4.3904,2.348834536596169,0.20586700244856676,9031,4.3904
RHOB,Walter_2-1.las,G/CC,-0.9557,3.9786,2.343532865867451,0.24160838743817886,8842,4.9343
RHOB,Walter_3-1.las,Unknown,-0.6879,4.3236,2.317836346453191,0.27134708772272503,8994,5.0115
RHOB,Walter_4-1.las,Unknown,-0.2837,4.044,2.3329973298783235,0.24061510917773737,8876,4.327699999999999
RHOB,Walter_5-1.las,G/CC,-1.017,3.826,2.3444894878103333,0.30712518916512016,8942,4.843
RHOB,Walter_6-1.las,G/CC,-0.9215,4.1181,2.2161955334987593,0.3730217488579432,8866,5.0396
RHOB,Walter_7-1.las,G/CC,-0.6174,4.1808,2.3474534200867536,0.2566342990940775,8991,4.7982
RHOB,Walter_8-1.las,Unknown,-1.5465,4.1183,2.3256625874514154,0.28730419008769215,9005,5.6648
RHOB,Walter_Bros._1-6.las,Unknown,-0.2891,3.9421,2.314251995601979,0.21978046128425005,9095,4.2312
RHOC,Downing_'B'_1-1.las,G/CC,-2.9555,0.4867,0.13280335023143047,0.10441109444380285,9074,3.4421999999999997
RHOC,Downing_1-6.las,G/CC,-3.4767,0.3958,0.06807626779359431,0.13589239634628614,8992,3.8725
RHOC,Ladenburger_'A'_1-6.las,NO_UNIT,-3.4832,0.3155,0.07059301608283763,0.13207041379073717,9078,3.7987
RHOC,Ladenburger_'B'_1-6.las,NO_UNIT,-2.6496,0.3784,0.08823284486557956,0.09922507411249198,9076,3.028
RHOC,Ladenburger_1-6.las,Unknown,-3.4104,0.3087,0.06668633164723994,0.1321512058537556,9094,3.7191
RHOC,Mary_Ann_1-1.las,Unknown,-2.8665,0.6137,0.061045678459471564,0.12537431946058458,8932,3.4802
RHOC,Mary_Ann_2-1.las,Unknown,-3.3463,0.557,0.06315016445503005,0.1321186750654088,8817,3.9032999999999998
RHOC,Mary_Ann_3-1.las,Unknown,-3.5924,0.5825,0.08505330787375043,0.12223790007325518,8903,4.1749
RHOC,Mary_Ann_4-1.las,G/CC,-3.4341,0.3282,0.06565176798661462,0.14499895311446892,8965,3.7622999999999998
RHOC,Mary_Ann_5-1.las,Unknown,-3.0396,0.2944,0.0617620292423571,0.09141295025829302,9028,3.334
RHOC,Mary_Ann_6-1.las,G/CC,-2.8789,0.4574,0.12409103019538187,0.10937617452058526,9008,3.3362999999999996
RHOC,Mary_Ann_7-1.las,G/CC,-2.8346,0.3905,0.07448104785112981,0.14235923681646306,9028,3.2251
RHOC,Mary_Ann_8-1.las,G/CC,-3.4333,0.4752,0.062371347312067796,0.11030792284214823,8966,3.9085
RHOC,Walter_'A'_2-1.las,G/CC,-3.554,0.3708,0.06583400239991272,0.1803441110398743,9167,3.9248
RHOC,Walter_1-1.las,G/CC,-2.7916,0.6798,0.12845210940095228,0.08865784962053493,9031,3.4714
RHOC,Walter_2-1.las,G/CC,-3.2466,0.6116,0.0619919701425017,0.13017288423768508,8842,3.8582
RHOC,Walter_3-1.las,Unknown,-2.9979,0.5592,0.0639747053591283,0.15081987374251132,8994,3.5571
RHOC,Walter_4-1.las,Unknown,-3.0151,0.5468,0.06991009463722397,0.11306924522326275,8876,3.5618999999999996
RHOC,Walter_5-1.las,G/CC,-3.1135,0.3835,0.0719877656005368,0.13431423382801805,8942,3.4970000000000003
RHOC,Walter_6-1.las,G/CC,-3.3021,0.4439,0.10801944507105797,0.12106321752665197,8866,3.746
RHOC,Walter_7-1.las,G/CC,-3.1551,0.4406,0.07182256701145591,0.11713443636209453,8991,3.5957
RHOC,Walter_8-1.las,Unknown,-3.5678,0.3354,0.06000596335369239,0.15911041460765707,9005,3.9032
RHOC,Walter_Bros._1-6.las,Unknown,-3.614,0.4987,0.05396253985706432,0.1343983783539048,9095,4.1127
CILD,Downing_'B'_1-1.las,OHM-M,0.0,1181.0807,230.49299003957785,146.0333088877829,9096,1181.0807
CILD,Downing_1-6.las,OHM-M,0.0,1122.6853,259.78691919023845,144.18176913958828,9015,1122.6853
CILD,Ladenburger_'A'_1-6.las,NO_UNIT,-499.625,1730.2833,286.2982616307218,173.3026565866718,9088,2229.9083
CILD,Ladenburger_'B'_1-6.las,NO_UNIT,0.0,1104.2087,235.5734302294938,137.7616155684431,9107,1104.2087
