KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001328015","T31S R1W, Sec. 33,     N2 S2 NW","SHAWVER E B","","ERKER 2","15-191-10118","1254 DF","Strip/Sample Logs","Sample Log","3045","3684","","Scanned","08/214/1935"
"1001328016","T31S R1W, Sec. 33,   NW NW SW NW","SHAWVER E B","BEREXCO LLC","WELLINGTON UNIT, was ERKER 1 47","15-191-10134","1262 DF","Strip/Sample Logs","Sample Log","3035","3694","","Scanned","04/115/1935"
"1001328017","T31S R1W, Sec. 33,   NE NE SE NW","SHAWVER E B","BEREXCO LLC","WELLINGTON UNIT, was ERKER 3 49","15-191-10131","1255 DF","Strip/Sample Logs","Sample Log","3400","3684","","Scanned","09/252/1935"
"1001328412","T32S R1W, Sec. 4,     NW NW SW","Sinclair Prairie Oil Co.","","DeTurk, Oscar L. 1","15-191-10251","1226 DF","Strip/Sample Logs","Sample Log","1940","3676","","Scanned","05/149/1937"
"1001328412","T32S R1W, Sec. 4,     NW NW SW","Sinclair Prairie Oil Co.","","DeTurk, Oscar L. 1","15-191-10251","1226 DF","Strip/Sample Logs","Sample Log","0","3676","","Scanned","05/149/1937"
"1001328413","T32S R1W, Sec. 4,     W2 E2 NW","Stelbar Oil Corp. and Dewar Oil Co.","BEREXCO LLC","Wellington Unit 107","15-191-10255","1241 DF","Strip/Sample Logs","Sample Log","0","3681","","Scanned","12/358/1936"
"1001328413","T32S R1W, Sec. 4,     W2 E2 NW","Stelbar Oil Corp. and Dewar Oil Co.","BEREXCO LLC","Wellington Unit 107","15-191-10255","1241 DF","Strip/Sample Logs","Sample Log","3350","3690","","Scanned","02/55/1937"
"1001328419","T32S R1W, Sec. 4,     NE NW NE","Stelbar Oil Corp. and Dewar Oil Co.","","Rothrock, Ed. 5","15-191-10256","1264 DF","Strip/Sample Logs","Sample Log","0","3703","","Scanned","07/199/1937"
"1001328419","T32S R1W, Sec. 4,     NE NW NE","Stelbar Oil Corp. and Dewar Oil Co.","","Rothrock, Ed. 5","15-191-10256","1264 DF","Strip/Sample Logs","Sample Log","0","3687","","Scanned","06/158/1937"
"1001328423","T32S R1W, Sec. 4,   NE SW NW NE","Stelbar Oil Corp. and Dewar Oil Co.","BEREXCO LLC","Wellington Unit 102","15-191-10257","1246 DF","Strip/Sample Logs","Sample Log","0","3695","","Scanned","03/79/1938"
"1001328425","T32S R1W, Sec. 4,     NW NE NW","Stelbar Oil Corp., Inc.","","Rothrock, E.A. 1","15-191-10253","1246 DF","Strip/Sample Logs","Sample Log","2490","3699","","Scanned","12/366/1936"
"1001328425","T32S R1W, Sec. 4,     NW NE NW","Stelbar Oil Corp., Inc.","","Rothrock, E.A. 1","15-191-10253","1246 DF","Strip/Sample Logs","Sample Log","0","3699","","Scanned","12/366/1936"
"1001328426","T32S R1W, Sec. 4,   NE NE SW NW","Continental Oil Co.","BEREXCO LLC","Wellington Unit 106","15-191-10259","1243 DF","Strip/Sample Logs","Sample Log","0","3699","","Scanned","03/89/1937"
"1001328426","T32S R1W, Sec. 4,   NE NE SW NW","Continental Oil Co.","BEREXCO LLC","Wellington Unit 106","15-191-10259","1243 DF","Strip/Sample Logs","Sample Log","0","3699","","Scanned","03/61/1937"
